job_title,company_name,job_location,salary_range,job_posted,description,Ratings
"Team Leader, Cash Management, Product Management",Santander US,"New York, NY","$157,500 - $205,000 ","
 2 days ago","Act as subject matter expert on cash management products (Payments, Receivables and Liquidity Management).
Provide product expertise to the customer service,…",3.9
"Head of Product, Experience & Technology (PXT) Business Management - Executive Director","JPMorgan Chase Bank, N.A.","New York, NY","$154,900 - $250,000 ","
 2 days ago","Experience in effectively messaging priorities, initiatives and updates to senior management.
Proven track record of delivering projects, complex product and/or…",3.8
Cash Product Manager,Standard Chartered,"Hybrid remote in New York, NY 10036","$91,500 - $115,000 ","
 3 days ago",The role is a core part of the product management team that is accountable for ensuring that the products we offer to clients in the Americas are compliant with…,4.1
"Senior Product Manager, Search Ranking",Etsy,"Brooklyn, NY 11201","$149,000 - $193,000 ","
 3 days ago",Lead product management for one of Etsy’s highest performing product teams and build roadmaps for Search Ranking across Etsy’s mobile and web properties.,4.3
Rates Digital Product Manager - Vice President,"JPMorgan Chase Bank, N.A.","New York, NY","$142,500 - $200,000 ","
Today",Identify & create the appropriate metrics to track the success of product release and the overall strength of the business.,3.8
Digital Product Manager: Sustainable Investing & Wealth Management,Morgan Stanley,"New York, NY 10036 
(Midtown area)","$150,000 - $170,000 ","
 2 days ago","Successful candidates will have demonstrated experience in digital product management and financial services, a passion for environmental and social…",3.8
"Director, Product Management",The Estée Lauder Companies,"New York, NY 10022 
(Midtown area)","$96,500 - $162,500 ","
 2 days ago","Minimum 3 – 5 years of product management experience in the financial industries including High Value, Cross Border Money Transfer Payments and Check Image…",4.0
"Product Manager, Global Omnichannel Fulfillment (Ship From Store)",Visa,"New York, NY","$150,000 - $200,000 ","
 1 day ago","6+ years work experience in management consulting, product management, ecommerce operations, or similar.
The Product Manager, Ship from Store, maintains and…",3.9
"Senior Product Manager, Payment Journeys",DICK'S Sporting Goods,"Hybrid remote in New York, NY",0,"
 3 days ago","This is a role that requires close collaboration with designers, engineers, and existing customer experience product managers to build best-in-class product…",3.4
Senior Product Manager-GC,Spotify,"Remote in New York, NY",0,"
 3 days ago","Four or more years experience in managing technology products, with a focus on mobile or consumer products.
GameChanger is a product-driven business where your…",4.3
"Product Marketing Manager, Measurment",0,"Remote in New York, NY",0,"
 2 days ago",Deeply understand customer segments and collect high-quality product feedback to influence product roadmaps and to guide global marketing tactics.,0
"Staff, Product Management",Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$109,900 - $204,100 ","
 1 day ago","4 or more years of product management experience.
8+ years of software product management, product marketing, and/or operations experience, preferably in a fast…",4.0
"Product Management Leader, Ad Platforms",Apple,"New York, NY","$63,000 - $120,000 ","
 7 days ago","8+ years of product management experience building ML software products.
You will need to understand the world of ML, optimization systems development, and data…",4.1
"Specialist, Product Management",BNY Mellon,"New York, NY","$75,000 - $100,000 ","
 4 days ago",Researches and supports product profitability by pricing for the assigned product or product line in order to achieve operating plan revenue goals.,3.5
"Product Marketing Manager, North America",Sportradar,"New York, NY 10019 
(Midtown area)","$170,880 - $256,320 ","
 4 days ago","Proven experience partnering with product & sales teams to deliver growth against shared KPIs.
Experience executing, if not managing, components of a product…",4.2
Product Management Lead,Citi,"Jersey City, NJ 07310 
(The Waterfront area)","$171,000 - $270,000 ","
 3 days ago","Demonstrated talent management skills, including the ability to identify and develop product management talent.
Create and drive a Product Management Framework.",3.9
Head of Strategy and Product Advancement/Chief Product Owner,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$154,900 - $250,000 ","
 5 days ago",Experience with Agile methodologies and techniques to drive high-quality digital product delivery by leveraging product owner and technology squad skills.,4.1
"J.P. Morgan Wealth Management - Executive Director, Self Directed Investing Product Owner","JPMorgan Chase Bank, N.A.","New York, NY","$80,750 - $129,000 ","
 5 days ago",5-10 years of investments related product management experience with proven track record of delivery of new products and features.,3.8
"Product Manager I, Google Workspace",Google,"New York, NY 
(Chelsea area)","$157,500 - $205,000 ","
 6 days ago","Define the product direction and strategy for product areas within Google Workspace.
3.5 years of experience in product management, co-founder or related…",4.3
"Head of Product, Experience & Technology (PXT) Business Management - Executive Director","JPMorgan Chase Bank, N.A.","New York, NY","$77,600 - $144,000 ","
 2 days ago","Experience in effectively messaging priorities, initiatives and updates to senior management.
Proven track record of delivering projects, complex product and/or…",3.8
J.P. Morgan Wealth Management - Account Opening Product & Experience - Associate,"JPMorgan Chase Bank, N.A.","New York, NY","$110,000 - $120,000 ","
 2 days ago",2-5 years of product management or business analyst experience with a strong analytical background; project management experience a plus.,3.8
"Team Leader, Cash Management, Product Management",Santander US,"New York, NY",0,"
 2 days ago","Act as subject matter expert on cash management products (Payments, Receivables and Liquidity Management).
Provide product expertise to the customer service,…",3.9
Product Manager,Goldman Sachs,"New York, NY",0,"
 4 days ago","Contributing to design and implementation of new products / major service additions.
Continuous enhancements of existing Products / Services, based on Client…",3.9
Product Owner,WebMD,"New York, NY",0,"
 4 days ago","At least 2+ years of product experience.
Maintain and prioritize product roadmap, identify dependencies, articulate requirements, and plan future releases with…",3.5
"Platform Solutions - Enterprise Partnerships - Associate, Credit Card Product Management - NYC",0,"New York, NY 10282 
(Battery Park area)",0,"
 5 days ago","Experience owning a product roadmap.
3+ years of experience building digital products in a fast-paced, agile product development environment (consumer banking…",0
"Product Manager, Consumer Media",0,"New York, NY 10014 
(West Village area)",0,"
 6 days ago",We are seeking a Product Manager to join the team and support the management and development of advertising products for its portfolio of websites as well as…,0
"Staff, Product Management",Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$109,900 - $204,100 ","
 1 day ago","4 or more years of product management experience.
8+ years of software product management, product marketing, and/or operations experience, preferably in a fast…",4.0
Core Engineering Product Manager,"JPMorgan Chase Bank, N.A.","New York, NY","$142,500 - $200,000 ","
 8 days ago","Experience of going through a full product lifecycle, integrating customer feedback into product requirements, driving prioritization and pre/post-launch…",3.8
"Manager, Technical Product Management - Remote",UnitedHealth Group,"Remote in New York, NY 10002","$85,000 - $167,300 ","
 13 days ago","6+ years of experience in a product management role.
Each Technical Product Manager may lead across multiple smaller product squads – each composed of product…",3.6
"Specialist, Product Management",BNY Mellon,"New York, NY","$63,000 - $120,000 ","
 4 days ago",Researches and supports product profitability by pricing for the assigned product or product line in order to achieve operating plan revenue goals.,3.5
"Product Management Leader, Ad Platforms",Apple,"New York, NY","$170,880 - $256,320 ","
 7 days ago","8+ years of product management experience building ML software products.
You will need to understand the world of ML, optimization systems development, and data…",4.1
"Director, Product Management",Visa,"Hybrid remote in New York, NY","$75,000 - $100,000 ","
 10 days ago","Maintain product backlog to ensure a healthy pipeline of product enhancements.
Identify new opportunities/use cases for existing products and any product…",3.9
Product Management Lead,Citi,"Jersey City, NJ 07310 
(The Waterfront area)","$55,000 - $105,000 ","
 3 days ago","Demonstrated talent management skills, including the ability to identify and develop product management talent.
Create and drive a Product Management Framework.",3.9
"Product Marketing Manager, North America",Sportradar,"New York, NY 10019 
(Midtown area)","$154,900 - $250,000 ","
 4 days ago","Proven experience partnering with product & sales teams to deliver growth against shared KPIs.
Experience executing, if not managing, components of a product…",4.2
Product Owner,"Perficient, Inc","New York, NY 10007 
(Financial District area)","$157,500 - $205,000 ","
 12 days ago","The ideal candidate will have a complimentary blend of business skills (e.g. financial services, wealth management, annuities, alternative investments) and…",3.4
"Senior Analyst, Savings Product Management",Amex,"New York, NY",0,"
 13 days ago",Manage customer research efforts and surface actionable insights to feed into feature development and product strategies.,4.1
"Group Product Manager, Self, Serve AdTech",Spotify,"Remote in New York, NY",0,"
 11 days ago","You have experience hiring, coaching and leading a diverse and impactful team of product managers, including senior product managers.",4.3
"Head of Product, Experience & Technology (PXT) Business Management - Executive Director","JPMorgan Chase Bank, N.A.","New York, NY",0,"
 2 days ago","Experience in effectively messaging priorities, initiatives and updates to senior management.
Proven track record of delivering projects, complex product and/or…",3.8
"Product Manager I, Google Workspace",Google,"New York, NY 
(Chelsea area)",0,"
 6 days ago","Define the product direction and strategy for product areas within Google Workspace.
3.5 years of experience in product management, co-founder or related…",4.3
Head of Strategy and Product Advancement/Chief Product Owner,Federal Reserve Bank of New York,"Hybrid remote in New York, NY",0,"
 5 days ago",Experience with Agile methodologies and techniques to drive high-quality digital product delivery by leveraging product owner and technology squad skills.,4.1
"Team Leader, Cash Management, Product Management",Santander US,"New York, NY",0,"
 2 days ago","Act as subject matter expert on cash management products (Payments, Receivables and Liquidity Management).
Provide product expertise to the customer service,…",3.9
"Manager, Technical Product Management - Remote",UnitedHealth Group,"Remote in New York, NY 10002","$85,000 - $167,300 ","
 13 days ago","6+ years of experience in a product management role.
Each Technical Product Manager may lead across multiple smaller product squads – each composed of product…",3.6
Senior Product Manager,ACLU,"Remote in New York, NY 10004","$143,943 ","
 19 days ago",Identify research priorities with the product design team ensure qualitative research practices can consistently used for product discovery and product…,4.3
"Group Product Manager, Patient Experience",Ro,"Remote in New York, NY","$186,600 - $222,500 ","
 30+ days ago","5+ years of consumer-facing product management experience.
Excellent product judgment: Ability to prioritize competing opportunities, balance stakeholder needs…",3.6
"Group Product Manager, Self, Serve AdTech",Spotify,"Remote in New York, NY","$159,900 - $287,800 ","
 11 days ago","You have experience hiring, coaching and leading a diverse and impactful team of product managers, including senior product managers.",4.3
Technical Product Management Director- REMOTE,Siemens,"Remote in New York, NY","$190,000 - $225,000 ","
 30+ days ago","5+ years in a leading portfolio or product management role.
Directs managers who are responsible for managing the definition and direction of a product or…",4.0
"VP, Product Management",Walmart,"Remote in New York, NY","$144,000 - $216,000 ","
 26 days ago","10+ years of experience in product management, with a proven record of accomplishment in delivering successful products.
HIPAA, Meaningful Use, HITECH, etc.",3.4
"Senior Manager I, Product Management (Tech) - Walmart Fulfillment Services, Seller Support Experience (Remote)",Warner Music Group,"Remote in Brooklyn, NY 11222","$60,000 - $90,000 ","
 18 days ago","Option 2: 9 years' experience in product management or related area.
Work with cross-functional teams to translate the product strategy into a product roadmap…",4.1
"Manager or Sr. Manager, Label & Product Management",Spotify,"Remote in New York, NY","$155,000 - $200,000 ","
 17 days ago","Implement, organize and execute creative marketing including the management of project budgets.
Have strong management skills with the ability to drive projects…",4.3
"Product Insights Manager, Ad Tech",Sotheby's,"Remote in New York, NY","$100,000 - $125,000 ","
 13 days ago","Experience working on research and insights problems related to advertising platforms or technology products.
2+ years of experience leading a data science team…",3.7
"AVP Product Management, Mobile App",0,"Remote in New York, NY 10022","$50,000 - $60,000 ","
 30+ days ago","7+ years product management experience.
Proficient with common product design and management frameworks.
As the lead product manager for Sotheby's app, you will…",0
Product Manager,0,"Remote in New York, NY","$135,000 - $160,000 ","
 30+ days ago","Driving product vision into delivered products and solutions.
Understand our product offering through training.
Write features specifications and user stories.",0
Product Manager,0,"Remote in New York, NY",0,"
 30+ days ago","Experience with Agile/Scrum and other product development frameworks, a variety of project management tools (JIRA, Trello, etc.), and effective product…",0
Associate Product Manager,0,"Remote in New York, NY",0,"
 5 days ago","Some experience in product lifecycle management and working in Agile environment.
Conducting market research and analyzing customer feedback to identify…",0
Senior Product Marketing Manager,0,"Remote in Brooklyn, NY",0,"
 5 days ago","Exemplary project management and organizational skills.
Extensive experience bringing complex products and features to market.",0
Product Operations | Spend Management,0,"Remote in New York, NY",0,"
 30+ days ago","Minimum 2 years working in product management or product operations.
Work with engineering, support and product on scaling Ramp’s issue management for your…",0
"Manager, Technical Product Management - Remote",UnitedHealth Group,"Remote in New York, NY 10002","$85,000 - $167,300 ","
 13 days ago","6+ years of experience in a product management role.
Each Technical Product Manager may lead across multiple smaller product squads – each composed of product…",3.6
Manager - Network Strategy and Product,Mastercard,"New York, NY 10011 
(Flatiron area)","$142,000 - $220,000 ","
 16 days ago","Strong organizational and workstream management skills.
The role is part of the global Network Strategy and Product team and will collaborate with cross…",4.0
Product Owner - Middle and Back Office,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$161,300 - $184,000 ","
 24 days ago","Provides specialized expertise on strategy, product management, industry, and/or technology to advance ambitious and clear strategy within product domain.",4.1
"Associate Digital Product Management, Consumer Banking",Amex,"New York, NY","$60,000 - $110,000 ","
 30+ days ago","Experience in new product development, product management, or similar role.
Support overall product management efforts including tracking project status,…",4.1
Product Manager,ACLU,"New York, NY 10004 
(Financial District area)","$122,576 ","
 30+ days ago","Work closely with leadership to justify product roadmap decisions and overall product strategy choices.
Collaborate with other product leaders to create and…",4.3
Product Management Associate,Meta,"New York, NY","$74,000 - $100,000 ","
 16 days ago",Experience with or a willingness to learn product management skills including Agile development and software architectural concepts.,4.1
Product Management Director,Warner Bros. Discovery,"New York, NY","$244,000 - $317,000 ","
 30+ days ago","Define and analyze metrics that inform the success of products.
Attract, build, manage, and develop a talented, diverse, equitable and inclusive team of product…",4.0
"Staff, Product Management","JPMorgan Chase Bank, N.A.","New York, NY 10010 
(Flatiron area)","$109,900 - $204,100 ","
 1 day ago","4 or more years of product management experience.
8+ years of software product management, product marketing, and/or operations experience, preferably in a fast…",3.8
"Head of Product, Experience & Technology (PXT) Business Management - Executive Director",ACLU,"New York, NY","$154,900 - $250,000 ","
 2 days ago","Experience in effectively messaging priorities, initiatives and updates to senior management.
Proven track record of delivering projects, complex product and/or…",4.3
Senior Product Manager,BNY Mellon,"Remote in New York, NY 10004","$143,943 ","
 19 days ago",Identify research priorities with the product design team ensure qualitative research practices can consistently used for product discovery and product…,3.5
"Specialist, Product Management",Ro,"New York, NY","$63,000 - $120,000 ","
 4 days ago",Researches and supports product profitability by pricing for the assigned product or product line in order to achieve operating plan revenue goals.,3.6
"Group Product Manager, Patient Experience",Telstra,"Remote in New York, NY","$186,600 - $222,500 ","
 30+ days ago","5+ years of consumer-facing product management experience.
Excellent product judgment: Ability to prioritize competing opportunities, balance stakeholder needs…",3.9
Financial Management Product Owner,Ralph Lauren,"New York, NY","$120,000 - $145,600 ","
 27 days ago",As a member of the Financial Management Product Owner talent pool you may be deployed as product owner for any product within the domain or use your deep domain…,3.8
"Product Management Associate, Polo Women's Wovens",Visa,"New York, NY",0,"
 16 days ago",Secure on time delivery methodologies by aligning/leveraging lead times for added buy flexibility and product planning to start ship.,3.9
"Director, Product Management",0,"Hybrid remote in New York, NY",0,"
 10 days ago","Maintain product backlog to ensure a healthy pipeline of product enhancements.
Identify new opportunities/use cases for existing products and any product…",0
"Manager, Technical Product Management - Remote",UnitedHealth Group,"Remote in New York, NY 10002","$85,000 - $167,300 ","
 13 days ago","6+ years of experience in a product management role.
Each Technical Product Manager may lead across multiple smaller product squads – each composed of product…",3.6
Manager - Network Strategy and Product,Mastercard,"New York, NY 10011 
(Flatiron area)","$142,000 - $220,000 ","
 16 days ago","Strong organizational and workstream management skills.
The role is part of the global Network Strategy and Product team and will collaborate with cross…",4.0
Product Owner - Middle and Back Office,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$161,300 - $184,000 ","
 24 days ago","Provides specialized expertise on strategy, product management, industry, and/or technology to advance ambitious and clear strategy within product domain.",4.1
"Associate Digital Product Management, Consumer Banking",Amex,"New York, NY","$60,000 - $110,000 ","
 30+ days ago","Experience in new product development, product management, or similar role.
Support overall product management efforts including tracking project status,…",4.1
Product Manager,ACLU,"New York, NY 10004 
(Financial District area)","$122,576 ","
 30+ days ago","Work closely with leadership to justify product roadmap decisions and overall product strategy choices.
Collaborate with other product leaders to create and…",4.3
Product Management Associate,Meta,"New York, NY","$74,000 - $100,000 ","
 16 days ago",Experience with or a willingness to learn product management skills including Agile development and software architectural concepts.,4.1
Product Management Director,Warner Bros. Discovery,"New York, NY","$244,000 - $317,000 ","
 30+ days ago","Define and analyze metrics that inform the success of products.
Attract, build, manage, and develop a talented, diverse, equitable and inclusive team of product…",4.0
"Staff, Product Management","JPMorgan Chase Bank, N.A.","New York, NY 10010 
(Flatiron area)","$109,900 - $204,100 ","
 1 day ago","4 or more years of product management experience.
8+ years of software product management, product marketing, and/or operations experience, preferably in a fast…",3.8
"Head of Product, Experience & Technology (PXT) Business Management - Executive Director",ACLU,"New York, NY","$154,900 - $250,000 ","
 2 days ago","Experience in effectively messaging priorities, initiatives and updates to senior management.
Proven track record of delivering projects, complex product and/or…",4.3
Senior Product Manager,BNY Mellon,"Remote in New York, NY 10004","$143,943 ","
 19 days ago",Identify research priorities with the product design team ensure qualitative research practices can consistently used for product discovery and product…,3.5
"Specialist, Product Management",Ro,"New York, NY","$63,000 - $120,000 ","
 4 days ago",Researches and supports product profitability by pricing for the assigned product or product line in order to achieve operating plan revenue goals.,3.6
"Group Product Manager, Patient Experience",Telstra,"Remote in New York, NY","$186,600 - $222,500 ","
 30+ days ago","5+ years of consumer-facing product management experience.
Excellent product judgment: Ability to prioritize competing opportunities, balance stakeholder needs…",3.9
Financial Management Product Owner,Ralph Lauren,"New York, NY","$120,000 - $145,600 ","
 27 days ago",As a member of the Financial Management Product Owner talent pool you may be deployed as product owner for any product within the domain or use your deep domain…,3.8
"Product Management Associate, Polo Women's Wovens",Visa,"New York, NY",0,"
 16 days ago",Secure on time delivery methodologies by aligning/leveraging lead times for added buy flexibility and product planning to start ship.,3.9
"Director, Product Management",0,"Hybrid remote in New York, NY",0,"
 10 days ago","Maintain product backlog to ensure a healthy pipeline of product enhancements.
Identify new opportunities/use cases for existing products and any product…",0
"Manager, Technical Product Management - Remote",UnitedHealth Group,"Remote in New York, NY 10002","$85,000 - $167,300 ","
 13 days ago","6+ years of experience in a product management role.
Each Technical Product Manager may lead across multiple smaller product squads – each composed of product…",3.6
Manager - Network Strategy and Product,Mastercard,"New York, NY 10011 
(Flatiron area)","$142,000 - $220,000 ","
 16 days ago","Strong organizational and workstream management skills.
The role is part of the global Network Strategy and Product team and will collaborate with cross…",4.0
Product Owner - Middle and Back Office,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$161,300 - $184,000 ","
 24 days ago","Provides specialized expertise on strategy, product management, industry, and/or technology to advance ambitious and clear strategy within product domain.",4.1
"Associate Digital Product Management, Consumer Banking",Amex,"New York, NY","$60,000 - $110,000 ","
 30+ days ago","Experience in new product development, product management, or similar role.
Support overall product management efforts including tracking project status,…",4.1
Product Manager,ACLU,"New York, NY 10004 
(Financial District area)","$122,576 ","
 30+ days ago","Work closely with leadership to justify product roadmap decisions and overall product strategy choices.
Collaborate with other product leaders to create and…",4.3
Product Management Associate,Meta,"New York, NY","$74,000 - $100,000 ","
 16 days ago",Experience with or a willingness to learn product management skills including Agile development and software architectural concepts.,4.1
Product Management Director,Warner Bros. Discovery,"New York, NY","$244,000 - $317,000 ","
 30+ days ago","Define and analyze metrics that inform the success of products.
Attract, build, manage, and develop a talented, diverse, equitable and inclusive team of product…",4.0
"Staff, Product Management","JPMorgan Chase Bank, N.A.","New York, NY 10010 
(Flatiron area)","$109,900 - $204,100 ","
 1 day ago","4 or more years of product management experience.
8+ years of software product management, product marketing, and/or operations experience, preferably in a fast…",3.8
"Head of Product, Experience & Technology (PXT) Business Management - Executive Director",ACLU,"New York, NY","$154,900 - $250,000 ","
 2 days ago","Experience in effectively messaging priorities, initiatives and updates to senior management.
Proven track record of delivering projects, complex product and/or…",4.3
Senior Product Manager,BNY Mellon,"Remote in New York, NY 10004","$143,943 ","
 19 days ago",Identify research priorities with the product design team ensure qualitative research practices can consistently used for product discovery and product…,3.5
"Specialist, Product Management",Ro,"New York, NY","$63,000 - $120,000 ","
 4 days ago",Researches and supports product profitability by pricing for the assigned product or product line in order to achieve operating plan revenue goals.,3.6
"Group Product Manager, Patient Experience",Telstra,"Remote in New York, NY","$186,600 - $222,500 ","
 30+ days ago","5+ years of consumer-facing product management experience.
Excellent product judgment: Ability to prioritize competing opportunities, balance stakeholder needs…",3.9
Financial Management Product Owner,Ralph Lauren,"New York, NY","$120,000 - $145,600 ","
 27 days ago",As a member of the Financial Management Product Owner talent pool you may be deployed as product owner for any product within the domain or use your deep domain…,3.8
"Product Management Associate, Polo Women's Wovens",Visa,"New York, NY",0,"
 16 days ago",Secure on time delivery methodologies by aligning/leveraging lead times for added buy flexibility and product planning to start ship.,3.9
"Director, Product Management",0,"Hybrid remote in New York, NY",0,"
 10 days ago","Maintain product backlog to ensure a healthy pipeline of product enhancements.
Identify new opportunities/use cases for existing products and any product…",0
"Manager, Technical Product Management - Remote",UnitedHealth Group,"Remote in New York, NY 10002","$85,000 - $167,300 ","
 13 days ago","6+ years of experience in a product management role.
Each Technical Product Manager may lead across multiple smaller product squads – each composed of product…",3.6
Manager - Network Strategy and Product,Mastercard,"New York, NY 10011 
(Flatiron area)","$142,000 - $220,000 ","
 16 days ago","Strong organizational and workstream management skills.
The role is part of the global Network Strategy and Product team and will collaborate with cross…",4.0
"Associate Digital Product Management, Consumer Banking",Amex,"New York, NY","$60,000 - $110,000 ","
 30+ days ago","Experience in new product development, product management, or similar role.
Support overall product management efforts including tracking project status,…",4.1
Product Owner - Middle and Back Office,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$161,300 - $184,000 ","
 24 days ago","Provides specialized expertise on strategy, product management, industry, and/or technology to advance ambitious and clear strategy within product domain.",4.1
Product Management Associate,ACLU,"New York, NY","$74,000 - $100,000 ","
 16 days ago",Experience with or a willingness to learn product management skills including Agile development and software architectural concepts.,4.3
Product Manager,Meta,"New York, NY 10004 
(Financial District area)","$122,576 ","
 30+ days ago","Work closely with leadership to justify product roadmap decisions and overall product strategy choices.
Collaborate with other product leaders to create and…",4.1
Product Management Director,Warner Bros. Discovery,"New York, NY","$244,000 - $317,000 ","
 30+ days ago","Define and analyze metrics that inform the success of products.
Attract, build, manage, and develop a talented, diverse, equitable and inclusive team of product…",4.0
"Staff, Product Management","JPMorgan Chase Bank, N.A.","New York, NY 10010 
(Flatiron area)","$109,900 - $204,100 ","
 1 day ago","4 or more years of product management experience.
8+ years of software product management, product marketing, and/or operations experience, preferably in a fast…",3.8
"Head of Product, Experience & Technology (PXT) Business Management - Executive Director",Ralph Lauren,"New York, NY","$154,900 - $250,000 ","
 2 days ago","Experience in effectively messaging priorities, initiatives and updates to senior management.
Proven track record of delivering projects, complex product and/or…",3.8
"Product Management Associate, Polo Women's Wovens",ACLU,"New York, NY","$143,943 ","
 16 days ago",Secure on time delivery methodologies by aligning/leveraging lead times for added buy flexibility and product planning to start ship.,4.3
Senior Product Manager,Visa,"Remote in New York, NY 10004","$63,000 - $120,000 ","
 19 days ago",Identify research priorities with the product design team ensure qualitative research practices can consistently used for product discovery and product…,3.9
"Director, Product Management",BNY Mellon,"Hybrid remote in New York, NY","$120,000 - $145,600 ","
 10 days ago","Maintain product backlog to ensure a healthy pipeline of product enhancements.
Identify new opportunities/use cases for existing products and any product…",3.5
"Specialist, Product Management",Telstra,"New York, NY",0,"
 4 days ago",Researches and supports product profitability by pricing for the assigned product or product line in order to achieve operating plan revenue goals.,3.9
Financial Management Product Owner,Ralph Lauren,"New York, NY",0,"
 27 days ago",As a member of the Financial Management Product Owner talent pool you may be deployed as product owner for any product within the domain or use your deep domain…,3.8
